9,9,9,9,9,9,9,9,10,25,25,8,9,9,9,9,9,9,9,9
9,9,9,17,17,17,17,17,18,25,25,16,17,17,17,17,17,9,9,9
9,17,18,15,15,15,15,15,15,25,25,15,15,15,15,15,15,16,9,9
10,15,15,15,15,15,15,15,15,25,25,15,15,15,22,22,22,15,16,9
10,15,15,15,15,15,6,6,6,25,25,15,15,15,15,15,15,15,15,8
10,15,15,15,15,15,11,11,11,25,25,25,15,15,22,22,22,15,15,8
18,15,15,15,3,15,25,25,25,25,25,25,25,15,15,15,15,15,15,16
25,25,25,25,25,25,25,25,25,12,13,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,20,21,25,25,25,25,25,25,25,25,25
2,15,15,15,14,15,15,25,25,25,25,25,25,25,25,15,15,14,15,0
10,15,15,15,15,15,15,15,25,25,25,25,25,25,15,15,15,15,15,8
10,15,15,15,15,15,15,15,15,25,25,25,15,15,6,6,6,15,15,8
9,2,15,15,15,15,15,15,15,25,25,15,15,15,15,15,15,15,0,9
9,9,1,1,1,1,1,2,15,25,25,15,15,0,1,1,1,1,9,9
9,9,9,9,9,9,9,9,2,25,25,0,1,9,9,9,9,9,9,9
